Question;Topic;Activity/Feeling;Question type
Q109: What kind of actions do you take post monitoring, if the model does not meet requirements anymore? - Selected Choice;Model monitoring;Activity;What type
Q109_4_TEXT: What kind of actions do you take post monitoring, if the model does not meet requirements anymore? - Other... - Text;Model monitoring;Activity;What type
Q110: Models that learn after deployment are monitored to ensure that the model still meets requirements. If not applicable, choose the option 'strongly agree'.;Model monitoring;Feeling;Statement 
Q111: My organization has clear quality standards to which a system must adhere.;Model monitoring;Feeling;Do you
Q118: How many different employees are directly involved with managing risks related to the model/system?;Risk management;Activity;How many
Q119: Which departments/professionals are involved in the risk management system?;Risk management;Activity;
Q120: My organization has established a risk management system.;Risk management;Feeling;Do you
Q121: How often is the risk management system assessed?;Risk management;Activity;How often
Q122: My organization asseses risk management at regular intervals.;Risk management;Feeling;Do you
Q123: How often does your organization take a corrective action after a risk has been flagged?;Risk management;Activity;How often
Q124: How often do you test that a corrective action has mitigated the risk?;Risk management;Activity;How often
Q125: How often are flagged risks actually mitigated?;Risk management;Activity;How often
Q126: My organization coordinates risk mitigation across the entire value chain of system development.;Risk management;Feeling;Do you
Q127: How often are risks of the system communicated across stakeholders?;Risk management;Activity;How often
Q128: With which stakeholders are risks of the system communicated? - Selected Choice;Risk management;Activity;How many
Q128_6_TEXT: With which stakeholders are risks of the system communicated? - Others - Text;Risk management;Activity;How many
Q129: My organization communicates risks of the system across all key stakeholders.;Risk management;Feeling;Statement 
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
